viReference,viCodeInsee,viCodePostal,viVille,viLambertX,viLambertY
1,1001,1400,L' Abergement-clémenciat,848174,6562933
2,1002,1640,L' Abergement-de-varey,887261,6547343
3,1003,1090,Amareins,839092,6554943
4,1004,1500,Ambérieu-en-bugey,882011,6541629
5,1005,1330,Ambérieux-en-dombes,847032,6546242
6,1006,1300,Ambléon,902099,6520038
7,1007,1500,Ambronay,881846,6547180
8,1008,1500,Ambutrix,880528,6539364
9,1009,1300,Andert-et-condon,905798,6525717
10,1010,1350,Anglefort,917744,6539464
11,1011,1100,Apremont,905040,6571248
12,1012,1110,Aranc,893450,6547536
13,1013,1230,Arandas,892251,6536388
14,1014,1100,Arbent,906242,6581289
15,1015,1300,Arbignieu,906058,6517948
16,1016,1190,Arbigny,851146,6598553
17,1017,1230,Argis,892147,6539717
18,1019,1510,Armix,900182,6531086
19,1021,1480,Ars-sur-formans,840893,6543876
20,1022,1510,Artemare,909413,6533617
21,1023,1570,Asnières-sur-saône,844480,6588393
22,1024,1340,Attignat,867067,6577863
23,1025,1380,Bâgé-la-ville,850023,6581862
24,1026,1380,Bâgé-le-châtel,848539,6579604
25,1027,1360,Balan,863008,6527763
26,1028,1990,Baneins,846711,6559565
27,1029,1270,Beaupont,874380,6591401
28,1031,1810,Bellignat,901811,6575584
29,1032,1360,Béligneux,864440,6532244
30,1033,1200,Bellegarde-sur-valserine,917805,6559468
31,1034,1300,Belley,908240,6522466
32,1035,1130,Belleydoux,913360,6575979
33,1037,1470,Bénonces,892495,6528618
34,1038,1370,Bény,875373,6583652
35,1039,1350,Béon,913444,6529312
36,1040,1340,Béréziat,857571,6587608
37,1041,1500,Bettant,883627,6539456
38,1042,1290,Bey,842591,6570575
39,1043,1700,Beynost,855247,6527561
40,1044,1200,Billiat,914834,6556029
41,1045,1330,Birieux,857233,6540942
42,1046,1290,Biziat,848756,6570723
43,1047,1150,Blyes,874585,6530303
44,1048,1250,Bohas,885140,6566166
45,1049,1120,La Boisse,857518,6529841
46,1050,1190,Boissey,853700,6588620
47,1051,1450,Bolozon,891205,6569686
48,1052,1330,Bouligneux,854713,6548654
